IssuerId,IssuerId2,BusinessDate,StateCode,SourceName,NetworkName,NetworkURL,custnum,MarketCoverage,DentalOnlyPlan
31195,31195,01-10-2019,SD,SERFF,Sanford Health Plan South Dakota Network,https://www.viiad.com/shp/provider_search_main.asp,14,,
60536,60536,01-10-2019,SD,SERFF,Avera Health Plans,www.Avera.org/ProviderDirectory,13,,
61214,61214,01-10-2019,SD,SERFF,DenteMax,http://www2.dentemax.com/,14,,
62210,62210,01-10-2019,SD,SERFF,DAKOTACARE,http://www.dakotacare.com/locateourproviders/providerdirectory/,15,,
80261,80261,01-10-2019,SD,SERFF,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,13,Individual,No
80608,80608,01-10-2019,SD,SERFF,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,SHOP (Small Group),No
14948,14948,01-10-2019,UT,SERFF,DeltaCare USA DHMO,http://www.deltadentalins.com/find-a-dentist/,13,Individual,No
18167,18167,01-10-2019,UT,SERFF,Molina Healthcare of Utah,http://www.molinahealthcare.com/providersearch,13,SHOP (Small Group),Yes
27619,27619,01-10-2019,UT,SERFF,Arches Horizon Network,http://www.archeshealth.org/providernetwork,13,Individual,Yes
34541,34541,01-10-2019,UT,SERFF,Exchange Network,www.bridgespanhealth.com,13,Individual,No
38927,38927,01-10-2019,UT,SERFF,Altius Peak Preference Network,http://ut.coventryproviders.com,13,SHOP (Small Group),No
38927,38927,01-10-2019,UT,SERFF,Altius Network,http://ut.coventryproviders.com,13,SHOP (Small Group),Yes
40335,40335,01-10-2019,UT,SERFF,Premier,emihealth.com,13,SHOP (Small Group),Yes
40335,40335,01-10-2019,UT,SERFF,Advantage,emihealth.com,13,SHOP (Small Group),Yes
42757,42757,01-10-2019,UT,SERFF,DenteMax,http://www2.dentemax.com/,13,Individual,Yes
46958,46958,01-10-2019,UT,SERFF,Humana Dental PPO/Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,13,Individual,No
56764,56764,01-10-2019,UT,SERFF,Salt Lake City HMOx,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=820,13,Individual,No
68781,68781,01-10-2019,UT,SERFF,Fundamental,selecthealth.org/findaprovider,13,SHOP (Small Group),No
68781,68781,01-10-2019,UT,SERFF,Select Care,http://intermountainhealthcare.org/providers/index.html?brand=sh,13,Individual,No
68781,68781,01-10-2019,UT,SERFF,Select Med,http://intermountainhealthcare.org/providers/index.html?brand=sh,13,Individual,No
68781,68781,01-10-2019,UT,SERFF,Prime,selecthealth.org/findaprovider,14,Individual,No
68781,68781,01-10-2019,UT,SERFF,Select Value,http://intermountainhealthcare.org/providers/index.html?brand=sh,13,Individual,Yes
68781,68781,01-10-2019,UT,SERFF,Classic,selecthealth.org/findaprovider,14,Individual,Yes
68781,68781,01-10-2019,UT,SERFF,Fundamental,selecthealth.org/findaprovider,13,Individual,Yes
68781,68781,01-10-2019,UT,SERFF,Prime,selecthealth.org/findaprovider,13,Individual,Yes
68781,68781,01-10-2019,UT,SERFF,Classic,selecthealth.org/findaprovider,13,Individual,No
68809,68809,01-10-2019,UT,SERFF,Premier Access Dental,www.premierlife.com/providersearch,13,Individual,Yes
71246,71246,01-10-2019,UT,SERFF,Delta Dental PPO,http://www.deltadentalins.com/find-a-dentist/,13,Individual,No
10207,10207,01-10-2019,VA,SERFF,CareFirst BlueChoice,https://member.carefirst.com/wps/portal/Member/public/findaprovider,14,Individual,No
12028,12028,01-10-2019,VA,SERFF,QHP PPO_OAMC_I H Virginia,http://www.innovation-health.com/individual-families/exchange,14,Individual,Yes
13756,13756,01-10-2019,VA,SERFF,Advantage Plus,https://secure.ucci.com/tp2fad/?network=074,15,Individual,No
16064,16064,01-10-2019,VA,SERFF,Dental Prime,www.anthem.com,15,Individual,Yes
20507,20507,01-10-2019,VA,SERFF,Optima Health Plan,http://optimahealth.prismisp.com,16,Individual,Yes
24832,24832,01-10-2019,VA,SERFF,Renaissance Dental,www.renaissancedental.com/Find-a-Dentist,17,Individual,Yes
24832,24832,01-10-2019,VA,SERFF,Delta Dental,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl,18,Individual,Yes
